"id","text","screenName","created","favoriteCount","retweetCount"
"1433706329244372992",".@HeikoMaas gibt #Deutschland einmal mehr der Lächerlichkeit preis: 20 Jahre hat man versucht, den #Taliban… https://t.co/VYcKNOIyTb","Alice_Weidel",2021-09-03 08:20:00,1431,362
"1433349739882459138","Die #Gruenen schaffen Fakten auf dem Weg in den #Sozialismus. @DerDanyal führte gestern eine neue #Steuerplattform… https://t.co/vIBG6gNBCQ","Alice_Weidel",2021-09-02 08:43:02,1750,414
"1432651589311991808","Die Bürger werden jetzt zur Kasse gebeten für die #EZB Nullzins- &amp; Geldflutungspolitik, die kostspielige &amp; überzoge… https://t.co/RZF3yGtL9w","Alice_Weidel",2021-08-31 10:28:50,935,219
"1432618286492135424","Heute Abend bin ich um 20:15 Uhr zu Gast in der #ZDF-Sendung ""Wie geht's #Deutschland"". Die weiteren Gäste der Send… https://t.co/IWOxGy2F8o","Alice_Weidel",2021-08-31 08:16:30,1696,395
"1432617253250416641","Ob 5 Mio oder 70.000 #Afghanen: Über 2/3 der Deutschen lehnen ihre Aufnahme ab. Das gilt es zu respektieren. Ihre S… https://t.co/405UMof1G3","Alice_Weidel",2021-08-31 08:12:24,2196,624
"1432413115447132170","Heute im #Iran, morgen in #Europa. Deutschlands #Grenzen sofort sichern! #btw21 #AfD #Afghanistan https://t.co/FWgFZsQA1T","Alice_Weidel",2021-08-30 18:41:14,1136,252
"1432244744403439616","Volle Hallen, oder wie hier ein voller Platz, verdeutlichten das Interesse der Bürger an der #Politik der #AfD. Sel… https://t.co/qtwGDi4wpS","Alice_Weidel",2021-08-30 07:32:11,1712,386
"1432243721588912129","Wer weiterhin Herr über seine #Gesundheit bleiben will, wählt am 26. September die #AfD. Wir erteilen einer eventue… https://t.co/s4IMdigLVy","Alice_Weidel",2021-08-30 07:28:07,3104,790
"1431889645080662019","Gestern in #Hessen: Tolle Veranstaltungen mit sehr vielen Gästen - so macht Wahlkampf Spaß. Herzlichen Dank nach… https://t.co/TTTEDKXVug","Alice_Weidel",2021-08-29 08:01:09,1617,253
"1431217805324599299","#HumboldtUni sucht Antidiskriminierungsberater: #weisse #Menschen"" dürfen sich aber nicht bewerben! Diesem Irrsinn… https://t.co/HpxwYmqTca","Alice_Weidel",2021-08-27 11:31:30,1983,542
"1430821214893842432","Wahlkampf mit meinen Kollegen @Tino_Chrupalla, @S_Muenzenmaier, @Nicole_Hoechst, @M_HarderKuehnel, @Martin_Hess_AfD… https://t.co/AMZfwDVw0g","Alice_Weidel",2021-08-26 09:15:35,701,164
"1430528849264222209","Der Versuch, das Leid der Menschen in den Hochwassergebieten für die Forcierung des „#Klimaschutz“-Dirigismus zu in… https://t.co/hutmNri1kU","Alice_Weidel",2021-08-25 13:53:50,2057,522
"1430488591885553665","Weltärzte-Chef Frank #Montgomery fordert die #Impfpflicht für #Deutschland und dürfte damit auf Zustimmung bei den… https://t.co/8OJGXq3uUS","Alice_Weidel",2021-08-25 11:13:52,2088,523
"1430147398039441408","BA-Chef fordert 400k Zuwanderer pro Jahr gegen Fachkräftemangel. Die Mär von Fachkräften, die als Flüchtlinge kamen… https://t.co/m3gwPizGLL","Alice_Weidel",2021-08-24 12:38:05,2505,579
"1430087903032528940","Wir brauchen keine #Einwanderung, sondern endlich Konzepte, um die Abwanderung echter #Fachkräfte ins Ausland zu br… https://t.co/QyQoPUjP0H","Alice_Weidel",2021-08-24 08:41:40,1899,418
"1430087050246639650","Vor der #Bundestagswahl21 am 26. #September gibt es wieder 6 Wahlcheck-Veranstaltungen der #HeilbronnerStimme. Jetz… https://t.co/4ZVVAYvwID","Alice_Weidel",2021-08-24 08:38:17,431,116
"1429726864814260225","Die #HeilbronnerStimme interviewt mich am kommenden Sonntag ab 17 Uhr in der Stadthalle #Mockmühl. Sie können live… https://t.co/ZlM5FOlu1Z","Alice_Weidel",2021-08-23 08:47:02,730,196
"1429366790803574784","Horst #Seehofer rechnet mit 5 Mio Afghanen, die sich auf den Weg nach #Deutschland machen. Eine Katastrophe sowohl… https://t.co/oFZNdfQClx","Alice_Weidel",2021-08-22 08:56:13,3177,1028
"1428671196799848455","Schnell bewahrheitet sich, wovor die #AfD gewarnt hat. Die #Bundesregierung missbraucht den Begriff der „… https://t.co/uSjQ1UfzWA","Alice_Weidel",2021-08-20 10:52:11,2004,558
